pcut_position,psvol_position,label
-884305,11907,1
-884306,11910,1
-884306,11913,1
-884307,11916,1
-884307,11919,1
-884308,11922,1
-884308,11925,1
-884308,11927,1
-884309,11930,1
-884309,11933,1
-884310,11936,1
-884310,11939,1
-884311,11942,1
-884311,11945,1
-884312,11948,1
-884312,11951,1
-884313,11954,1
-884314,11956,1
-884314,11959,1
-884315,11962,1
-884315,11965,1
-884316,11968,1
-884316,11971,1
-884317,11974,1
-884318,11977,1
-884318,11980,1
-884319,11983,1
-884319,11986,1
-884320,11988,1
-884321,11991,1
-884321,11994,1
-884322,11997,1
-884323,12000,1
-884323,12003,1
-884324,12006,1
-884325,12009,1
-884326,12012,1
-884326,12015,1
-884327,12018,1
-884328,12020,1
-884328,12023,1
-884329,12026,1
-884330,12029,1
-884331,12032,1
-884331,12035,1
-884332,12038,1
-884333,12041,1
-884334,12044,1
-884335,12047,1
-884335,12050,1
-884336,12052,1
-884337,12055,1
-884338,12058,1
-884339,12061,1
-884340,12064,1
-884340,12067,1
-884341,12070,1
-884342,12073,1
-884343,12076,1
-884344,12079,1
-884345,12082,1
-884346,12085,1
-884347,12088,1
-884348,12090,1
-884348,12093,1
-884349,12096,1
-884350,12099,1
-884351,12102,1
-884352,12105,1
-884353,12108,1
-884354,12111,1
-884355,12114,1
-884356,12117,1
-884357,12120,1
-884358,12122,1
-884359,12125,1
-884360,12128,1
-884361,12131,1
-884362,12134,1
-884363,12137,1
-884364,12140,1
-884365,12143,1
-884366,12146,1
-884367,12149,1
-884368,12152,1
-884369,12154,1
-884370,12157,1
-884371,12160,1
-884373,12163,1
-884374,12166,1
-884375,12169,1
-884376,12172,1
-884377,12175,1
-884378,12178,1
-884379,12181,1
-884380,12184,1
-884381,12186,1
-884383,12189,1
-884384,12192,1
-884385,12195,1
-884386,12198,1
-884387,12201,1
-884388,12204,1
-884389,12207,1
-884391,12210,1
-884392,12213,1
-884393,12216,1
-884394,12219,1
-884396,12222,1
-884397,12225,1
-884398,12228,1
-884399,12231,1
-884401,12234,1
-884402,12237,1
-884403,12240,1
-884405,12244,1
-884406,12247,1
-884408,12250,1
-884409,12253,1
-884411,12257,1
-884412,12260,1
-884414,12264,1
-884415,12267,1
-884417,12271,1
-884418,12274,1
-884420,12278,1
-884422,12282,1
-884423,12286,1
-884425,12289,1
-884427,12293,1
-884429,12297,1
-884431,12301,1
-884433,12305,1
-884434,12309,1
-884436,12313,1
-884438,12318,1
-884440,12322,1
-884443,12326,1
-884445,12331,1
-884447,12335,1
-884449,12340,1
-884451,12344,1
-884453,12349,1
-884456,12354,1
-884458,12359,1
-884460,12363,1
-884463,12369,1
-884465,12374,1
-884468,12379,1
-884470,12384,1
-884473,12389,1
-884476,12394,1
-884478,12400,1
-884481,12405,1
-884484,12411,1
-884487,12416,1
